username,first_name,last_name,middle_name,email,gender,birth_date,mobile_number,department
2021-5541-MN-0,Tieasha,Mama ,Tomás ,ttmama@iskolarngbayan.pup.edu.ph,F,2003-02-23,(0926) 3243196,BECEd
2021-4481-MN-0,Tramayne,Montes ,David ,tdmontes@iskolarngbayan.pup.edu.ph,M,2002-10-16,(0905) 6886074,BSMA
2021-0636-MN-0,Juana,Sagun ,Atienza ,jasagun@iskolarngbayan.pup.edu.ph,F,2002-10-01,(0926) 3267629,BEEd
2021-8005-MN-0,Fahad,Reyes ,Borja ,fbreyes@iskolarngbayan.pup.edu.ph,M,2002-01-18,(0937) 1215486,BSCS
2021-2587-MN-0,Trapper,David ,Prado ,tpdavid@iskolarngbayan.pup.edu.ph,F,2003-01-10,(0976) 3936283,PBDE
2021-9392-MN-0,Percival,Tomás ,Laurente ,pltomás@iskolarngbayan.pup.edu.ph,M,2003-04-14,(0945) 5508520,BLIS
2021-4522-MN-0,Zulay,Viray ,Ong ,zoviray@iskolarngbayan.pup.edu.ph,F,2003-11-29,(0999) 3889775,BPA
2021-6352-MN-0,Murray,Aguinaldo ,Gallego ,mgaguinaldo@iskolarngbayan.pup.edu.ph,F,2003-06-02,(0915) 2882116,DMET
2021-7170-MN-0,Shelena,Torres ,Gamboa ,sgtorres@iskolarngbayan.pup.edu.ph,F,2002-10-25,(0979) 2988090,BSA
2021-7725-MN-0,Napolean,delos Reyes,Rivas ,nrdelos reyes@iskolarngbayan.pup.edu.ph,F,2002-08-19,(0917) 5012201,DEET
2021-3868-MN-0,Boone,Mejía ,Dalisay ,bdmejía@iskolarngbayan.pup.edu.ph,F,2002-06-29,(0937) 9944038,BSEP
2021-7452-MN-0,Derika,Villafuerte ,Bacus ,dbvillafuerte@iskolarngbayan.pup.edu.ph,M,2004-05-21,(0953) 9600354,BSEd-SS
2021-0151-MN-0,Lorraina,Villanueva ,Madriaga ,lmvillanueva@iskolarngbayan.pup.edu.ph,F,2004-09-23,(0926) 6696583,BSSTAT
2021-4129-MN-0,Talesha,Evangelista ,Zabala ,tzevangelista@iskolarngbayan.pup.edu.ph,F,2004-11-23,(0975) 3338164,MLIS
2021-2872-MN-0,Humza,Zapanta ,Chua ,hczapanta@iskolarngbayan.pup.edu.ph,M,2004-07-30,(0917) 1078201,BEEd
2021-6618-MN-0,Lesa,Lucas ,Cortez ,lclucas@iskolarngbayan.pup.edu.ph,F,2004-04-29,(0964) 2271641,BSFT
2021-3625-MN-0,Kerissa,Salazar ,Ramírez ,krsalazar@iskolarngbayan.pup.edu.ph,M,2002-05-20,(0936) 9131103,ABLCS
2021-5284-MN-0,Demitrus,Serrano ,Solomón ,dsserrano@iskolarngbayan.pup.edu.ph,F,2004-03-09,(0937) 3452445,MEM-IL
2021-5491-MN-0,Joline,Calderón ,Coronel ,jccalderón@iskolarngbayan.pup.edu.ph,M,2002-11-29,(0977) 4167486,BECEd
2021-7012-MN-0,Cornel,Mohammad ,Tejada ,ctmohammad@iskolarngbayan.pup.edu.ph,F,2003-03-21,(0937) 5757601,MBA
2021-7512-MN-0,Solomon,Torres ,Mateo ,smtorres@iskolarngbayan.pup.edu.ph,F,2004-09-24,(0976) 9869967,BSENTREP
2021-9593-MN-0,Rain,Quiambao ,Agustín ,raquiambao@iskolarngbayan.pup.edu.ph,M,2004-09-13,(0997) 8316049,BECEd
2021-3166-MN-0,Adolph,Andrada ,Labrador ,alandrada@iskolarngbayan.pup.edu.ph,F,2002-12-07,(0954) 5800754,BAPS
2021-9674-MN-0,Veda,Valenzuela ,David ,vdvalenzuela@iskolarngbayan.pup.edu.ph,F,2002-12-15,(0965) 3348837,BSBIO
2021-0577-MN-0,Damond,de la Cruz ,Conde ,dcde la cruz@iskolarngbayan.pup.edu.ph,F,2003-05-04,(0977) 3744413,BSSTAT
2021-1460-MN-0,Ceilia,Paraiso ,Pangilinan ,cpparaiso@iskolarngbayan.pup.edu.ph,M,2003-03-14,(0976) 1312345,BTLEd-HE
2021-7486-MN-0,Arpan,Ballesteros ,Ferrer ,afballesteros@iskolarngbayan.pup.edu.ph,F,2004-02-25,(0975) 5493212,BSTRM
